"name","hour","max_high"
"BYND","09","140.5599975586"
"BYND","10","138.9199981689"
"BYND","11","138.2599945068"
"BYND","12","138.7200012207"
"BYND","13","138.8500061035"
"BYND","14","138.6699981689"
"BYND","15","137.6900024414"
"DDOG","09","98.1600036621"
"DDOG","10","96.8799972534"
"DDOG","11","95.8899993896"
"DDOG","12","95.4100036621"
"DDOG","13","95.4599990845"
"DDOG","14","95.6900024414"
"DDOG","15","95.9000015259"
"FB","09","284.5100097656"
"FB","10","285.8999938965"
"FB","11","288.8599853516"
"FB","12","289.0570983887"
"FB","13","288.9299926758"
"FB","14","288.7300109863"
"FB","15","287.0700073242"
"NFLX","09","505.1931152344"
"NFLX","10","506.6350097656"
"NFLX","11","504.5398864746"
"NFLX","12","506.299987793"
"NFLX","13","509.4700012207"
"NFLX","14","507.3800048828"
"NFLX","15","505.3399963379"
"OKTA","09","242.4799957275"
"OKTA","10","241.0399932861"
"OKTA","11","239.3500061035"
"OKTA","12","238.9299926758"
"OKTA","13","239.9900054932"
"OKTA","14","238.6000061035"
"OKTA","15","237.6900024414"
"PINS","09","70.9199981689"
"PINS","10","69.429901123"
"PINS","11","69.3399963379"
"PINS","12","69.099899292"
"PINS","13","69.2399978638"
"PINS","14","69.0100021362"
"PINS","15","68.3300018311"
"SHOP","09","1082.9998779297"
"SHOP","10","1084.0401611328"
"SHOP","11","1077.8498535156"
"SHOP","12","1075.5799560547"
"SHOP","13","1081.7099609375"
"SHOP","14","1075.1700439453"
"SHOP","15","1071.5200195312"
"SNAP","09","45.0400009155"
"SNAP","10","44.8298988342"
"SNAP","11","44.8899993896"
"SNAP","12","44.8499984741"
"SNAP","13","45.1100006104"
"SNAP","14","44.9556007385"
"SNAP","15","44.7700004578"
"SQ","09","211.9927062988"
"SQ","10","209.2299957275"
"SQ","11","207.8504943848"
"SQ","12","207.2400054932"
"SQ","13","207.9100036621"
"SQ","14","207.3610992432"
"SQ","15","203.6900024414"
"TTD","09","901.7247924805"
"TTD","10","895.2800292969"
"TTD","11","885.7800292969"
"TTD","12","882.1199951172"
"TTD","13","892.0"
"TTD","14","887.0100097656"
"TTD","15","891.7459716797"
